split,aspect,positive,negative,neutral,missing,total_labeled,total_rows
train,stayingpower,1070,662,230,7305,1962,9267
train,texture,2469,563,391,5844,3423,9267
train,smell,1638,307,92,7230,2037,9267
train,price,2264,13,22,6968,2299,9267
train,colour,4401,457,389,4020,5247,9267
train,shipping,2374,1182,245,5466,3801,9267
train,packing,2036,70,11,7150,2117,9267
val,stayingpower,226,140,49,1572,415,1987
val,texture,533,116,78,1260,727,1987
val,smell,349,67,19,1552,435,1987
val,price,479,5,2,1501,486,1987
val,colour,948,104,76,859,1128,1987
val,shipping,506,257,49,1175,812,1987
val,packing,430,11,1,1545,442,1987
test,stayingpower,223,138,38,1588,399,1987
test,texture,536,116,77,1258,729,1987
test,smell,349,65,19,1554,433,1987
test,price,481,3,2,1501,486,1987
test,colour,944,101,77,865,1122,1987
test,shipping,514,250,48,1175,812,1987
test,packing,421,20,6,1540,447,1987
