experiment_id,description,status,duration_mins,overall_accuracy,overall_macro_f1,overall_weighted_f1,overall_mcc,overall_macro_precision,overall_macro_recall,overall_f1_neg,overall_f1_neu,overall_f1_pos,stayingpower_accuracy,stayingpower_macro_f1,stayingpower_weighted_f1,stayingpower_mcc,stayingpower_f1_neg,stayingpower_f1_neu,stayingpower_f1_pos,texture_accuracy,texture_macro_f1,texture_weighted_f1,texture_mcc,texture_f1_neg,texture_f1_neu,texture_f1_pos,smell_accuracy,smell_macro_f1,smell_weighted_f1,smell_mcc,smell_f1_neg,smell_f1_neu,smell_f1_pos,price_accuracy,price_macro_f1,price_weighted_f1,price_mcc,price_f1_neg,price_f1_neu,price_f1_pos,colour_accuracy,colour_macro_f1,colour_weighted_f1,colour_mcc,colour_f1_neg,colour_f1_neu,colour_f1_pos,shipping_accuracy,shipping_macro_f1,shipping_weighted_f1,shipping_mcc,shipping_f1_neg,shipping_f1_neu,shipping_f1_pos,packing_accuracy,packing_macro_f1,packing_weighted_f1,packing_mcc,packing_f1_neg,packing_f1_neu,packing_f1_pos,msr_mixed_review_count,msr_mixed_review_accuracy,msr_mixed_aspect_accuracy,msr_mixed_prevalencee
B1_plain_roberta,"Plain RoBERTa — [CLS] head, no aspect awareness, CE loss",done,,0.7754,0.5731,0.7827,0.4235,0.5594,0.5921,0.5579,0.2951,0.8661,0.6772,0.6086,0.6739,0.4239,0.6172,0.4565,0.7521,0.7404,0.5626,0.7394,0.3887,0.5156,0.3259,0.8462,0.7819,0.5212,0.7996,0.4019,0.5333,0.1579,0.8724,0.8086,0.3378,0.8692,0.0733,0.058,0.0588,0.8965,0.7646,0.5296,0.7875,0.3535,0.4272,0.2963,0.8653,0.7941,0.63,0.7902,0.5781,0.7394,0.2887,0.8619,0.872,0.4627,0.9008,0.3772,0.4595,0,0.9287,628,0,52.5942,43.4001
B2_distilbert_base,"DistilBERT-base-uncased — [CLS] head, aspect-unaware, CE loss",done,,0.7424,0.5677,0.7609,0.45,0.559,0.6255,0.5611,0.3053,0.8368,0.6699,0.6068,0.6713,0.4315,0.6689,0.4301,0.7215,0.7077,0.5729,0.7224,0.4274,0.5402,0.3664,0.8122,0.7285,0.5088,0.7584,0.4027,0.5075,0.1935,0.8254,0.6904,0.308,0.7942,0.0653,0.0462,0.0588,0.8191,0.7133,0.5093,0.7527,0.3597,0.3972,0.3043,0.8264,0.8505,0.6722,0.8455,0.7056,0.8339,0.2785,0.9041,0.8124,0.4074,0.8631,0.3266,0.3269,0,0.8954,628,0,46.095,43.4001
B3_bert_base,"BERT-base-uncased — [CLS] head, aspect-unaware, CE loss",done,,0.7566,0.5697,0.7713,0.4398,0.5563,0.6111,0.5544,0.3031,0.8516,0.6408,0.5759,0.6425,0.3736,0.6103,0.4082,0.7093,0.7268,0.5882,0.7377,0.4301,0.5449,0.3913,0.8284,0.7564,0.5164,0.7789,0.391,0.4972,0.2,0.8519,0.7536,0.3131,0.8359,0.1014,0.0762,0,0.8632,0.7398,0.5213,0.7744,0.3871,0.4131,0.3,0.8508,0.8223,0.6432,0.8191,0.642,0.796,0.25,0.8835,0.8366,0.4218,0.8781,0.3264,0.3556,0,0.9098,628,0,49.0989,43.4001
B4_tfidf_svm,Classical TF-IDF + LinearSVC — no deep learning,done,,0.8997,0.6971,0.888,0.7023,,,,,,0.8083,0.7185,0.8003,0.6544,0.8129,0.4865,0.8559,0.8716,0.7131,0.8558,0.6726,0.7892,0.4182,0.9319,0.9165,0.6531,0.9059,0.7021,0.7667,0.2353,0.9572,0.9654,0.3751,0.9535,0.1346,0,0.1429,0.9823,0.8814,0.5901,0.8613,0.4955,0.6012,0.2286,0.9405,0.9093,0.7103,0.8978,0.8178,0.9135,0.2687,0.9487,0.9691,0.543,0.9617,0.6355,0.6452,0,0.9839,628,56.051,82.5778,43.4001
A1_full_model,"Full model (with Dependency GCN, Aspect-guided MHA attention, Hybrid Loss (Focal + CB + Dice),With LLM synthetic augmentation)/A2_aspect_attention/A3_hybrid_loss/A4_with_augmentation/A5_aspect_specific_heads/A6_msr_with_gcn",done,103.64,0.9236,0.7856,0.9221,0.7838,0.7971,0.7751,0.8743,0.5189,0.9636,0.8568,0.7989,0.855,0.7454,0.8561,0.6437,0.897,0.9085,0.8104,0.9041,0.7754,0.8658,0.6119,0.9536,0.9327,0.7561,0.9395,0.7869,0.8547,0.439,0.9744,0.9654,0.4062,0.9566,0.2429,0,0.2353,0.9833,0.9115,0.7234,0.9074,0.6669,0.7817,0.4286,0.96,0.9265,0.8011,0.9287,0.8551,0.9405,0.5,0.9629,0.9801,0.7426,0.9796,0.8031,0.8372,0.4,0.9907,628,66.5605,87.2201,43.4001
A1_no_gcn,No GCN — aspect attention only,done,110.64,0.9212,0.7877,0.9212,0.7799,0.7896,0.7858,0.8703,0.5305,0.9623,0.8641,0.7951,0.8606,0.7578,0.8705,0.6098,0.9052,0.8921,0.79,0.8908,0.7365,0.8263,0.5974,0.9462,0.9304,0.7696,0.9369,0.789,0.8819,0.4615,0.9655,0.9674,0.4865,0.9579,0.2409,0.3333,0.1429,0.9834,0.9133,0.7361,0.9112,0.675,0.7594,0.4868,0.962,0.9216,0.8072,0.9265,0.8509,0.9362,0.5263,0.959,0.9801,0.6033,0.9772,0.7992,0.8182,0,0.9919,628,66.5605,87.3293,43.4001
A2_cls_pooling,CLS token pooling (no attention),done,,0.7317,0.5378,0.7507,0.4376,0.5404,0.5978,0.5433,0.2373,0.8327,0.6432,0.5449,0.6397,0.3919,0.6502,0.2785,0.7062,0.6831,0.5238,0.6967,0.3907,0.5147,0.2586,0.7979,0.7309,0.5521,0.7623,0.4085,0.4828,0.3448,0.8286,0.723,0.3391,0.8172,0.1003,0.0508,0.125,0.8413,0.708,0.4793,0.7476,0.3295,0.3688,0.2406,0.8286,0.826,0.6294,0.8193,0.6743,0.8034,0.2,0.8848,0.7903,0.3805,0.8481,0.2755,0.2586,0,0.8829,628,0,40.57,43.4001
A3_focal_only,Focal Loss only,done,,0.9178,0.7725,0.9166,0.7731,0.7744,0.7726,0.8655,0.4914,0.9605,0.8617,0.8106,0.8624,0.7609,0.8641,0.6667,0.9009,0.8934,0.7653,0.8871,0.7411,0.8279,0.5156,0.9524,0.9211,0.7516,0.9277,0.7631,0.8769,0.4211,0.9568,0.9593,0.4718,0.9555,0.2486,0.2,0.2353,0.9801,0.9115,0.7381,0.9092,0.6793,0.77,0.4857,0.9586,0.9216,0.7707,0.9221,0.8455,0.938,0.4124,0.9617,0.9691,0.5985,0.9713,0.7067,0.8095,0,0.986,,,,
A3_cb_only,Class-Balanced Loss only,done,,0.925,0.7911,0.9246,0.7939,0.7894,0.7938,0.874,0.5336,0.9656,0.8908,0.8338,0.891,0.8096,0.8803,0.6813,0.9399,0.8989,0.7988,0.8969,0.7561,0.8498,0.5972,0.9494,0.9234,0.7295,0.9276,0.7642,0.8636,0.3636,0.9613,0.9593,0.4223,0.9521,0.1616,0.2857,0,0.9812,0.9265,0.7689,0.9233,0.7319,0.789,0.5496,0.9681,0.913,0.7819,0.9183,0.8342,0.9305,0.4602,0.955,0.9801,0.7077,0.9814,0.8204,0.8444,0.2857,0.993,,,,
A3_dice_only,Dice Loss only,done,44.51,0.7823,0.2926,0.6868,0,0.2608,0.3333,0,0,0.8779,0.5534,0.2375,0.3943,0,0,0,0.7125,0.7363,0.2827,0.6245,0,0,0,0.8482,0.8213,0.3006,0.7408,0,0,0,0.9019,0.9674,0.3278,0.9514,0,0,0,0.9834,0.8434,0.305,0.7717,0,0,0,0.915,0.6311,0.258,0.4884,0,0,0,0.7739,0.947,0.3243,0.9213,0,0,0,0.9728,,,,
